Date,Open,High,Low,Close,Volume,Turnover,P/E,P/B,Div Yield,sin_day,cos_day,sin_month,cos_month,reindexed_id
18-04-2000,1443.55,1478.85,1410,1414.8,30055064,13116900000,21.31,3.84,1.66,-0.587785252,-0.809016994,0.866025404,-0.5,1
19-04-2000,1417.75,1469.05,1375.05,1404.95,38873392,19395900000,21.07,3.8,1.73,-0.743144825,-0.669130606,0.866025404,-0.5,1
20-04-2000,1405.7,1425.55,1339.75,1415.65,43869587,22942400000,21.23,3.83,1.71,-0.866025404,-0.5,0.866025404,-0.5,1
24-04-2000,1416.05,1431.8,1371.85,1388,34272187,17200200000,20.82,3.76,1.75,-0.951056516,0.309016994,0.866025404,-0.5,1
25-04-2000,1383.8,1383.8,1311.3,1359.45,40507493,13809500000,20.39,3.68,1.78,-0.866025404,0.5,0.866025404,-0.5,1
26-04-2000,1362.5,1439.05,1362.5,1436.1,45032350,13954900000,21.54,3.89,1.73,-0.743144825,0.669130606,0.866025404,-0.5,1
27-04-2000,1436.15,1455.85,1400.65,1416.9,51773632,25581500000,21.25,3.84,1.75,-0.587785252,0.809016994,0.866025404,-0.5,1
28-04-2000,1419.9,1438,1396.55,1406.55,27456437,14422500000,21.1,3.81,1.77,-0.406736643,0.913545458,0.866025404,-0.5,1
02-05-2000,1410,1421.5,1319.65,1333.45,39377730,18896100000,20,3.61,1.86,0.406736643,0.913545458,0.5,-0.866025404,1
03-05-2000,1330.15,1342.15,1258.1,1316.05,34709688,18152600000,19.74,3.56,1.91,0.587785252,0.809016994,0.5,-0.866025404,1
04-05-2000,1317.95,1385.15,1317.95,1380.55,29963970,15273700000,20.71,3.74,1.82,0.743144825,0.669130606,0.5,-0.866025404,1
05-05-2000,1381.9,1428.6,1381.9,1422.4,35555435,18833800000,21.33,3.85,1.77,0.866025404,0.5,0.5,-0.866025404,1
08-05-2000,1423.25,1436.6,1358.8,1365.05,23965671,20589000000,20.47,3.7,1.74,0.994521895,-0.104528463,0.5,-0.866025404,1
09-05-2000,1362.45,1385.7,1328.05,1378.55,24898689,15230700000,20.68,3.73,1.72,0.951056516,-0.309016994,0.5,-0.866025404,1
10-05-2000,1380.4,1391.35,1359.65,1363.15,22179474,15770700000,20.57,3.71,1.74,0.866025404,-0.5,0.5,-0.866025404,1
11-05-2000,1359.1,1359.1,1295.95,1304.55,23828870,15533300000,19.68,3.55,1.81,0.743144825,-0.669130606,0.5,-0.866025404,1
12-05-2000,1305.3,1326.3,1276.4,1282.8,23382546,15760300000,19.36,3.49,1.84,0.587785252,-0.809016994,0.5,-0.866025404,1
15-05-2000,1281.3,1311.7,1220.7,1299.25,21763805,17476100000,19.54,3.52,1.82,5.67E-16,-1,0.5,-0.866025404,1
16-05-2000,1300.2,1310.45,1287.8,1306.85,17410579,12383800000,19.66,3.54,1.81,-0.207911691,-0.978147601,0.5,-0.866025404,1
17-05-2000,1310.8,1347.7,1303.75,1311.65,25382671,16626000000,19.88,3.7,1.79,-0.406736643,-0.913545458,0.5,-0.866025404,1
18-05-2000,1311.3,1316.2,1289.55,1293.4,23235814,12011400000,19.44,3.64,1.81,-0.587785252,-0.809016994,0.5,-0.866025404,1
19-05-2000,1293.45,1293.45,1252.7,1268,27403349,15070500000,19.05,3.57,1.85,-0.743144825,-0.669130606,0.5,-0.866025404,1
22-05-2000,1267.85,1267.85,1228.4,1233,18684174,10515300000,18.53,3.47,1.89,-0.994521895,-0.104528463,0.5,-0.866025404,1
23-05-2000,1229.25,1230.9,1203.2,1224.4,21794331,12404700000,18.4,3.45,1.91,-0.994521895,0.104528463,0.5,-0.866025404,1
24-05-2000,1224.5,1246.25,1201.5,1235.9,30854002,15738500000,20.69,4.09,1.8,-0.951056516,0.309016994,0.5,-0.866025404,1
25-05-2000,1237,1269.8,1235.7,1247.65,35464246,18357100000,20.89,4.13,1.79,-0.866025404,0.5,0.5,-0.866025404,1
26-05-2000,1247.1,1278.75,1232.85,1275.35,33048311,16915700000,21.35,4.22,1.75,-0.743144825,0.669130606,0.5,-0.866025404,1
29-05-2000,1273.7,1317.75,1267.4,1311.05,47527900,23243500000,21.95,4.34,1.5,-0.207911691,0.978147601,0.5,-0.866025404,1
30-05-2000,1310.8,1347.3,1304.95,1344.85,35581006,18852300000,22.34,4.57,1.47,-1.13E-15,1,0.5,-0.866025404,1
31-05-2000,1355.35,1410.75,1355.35,1380.45,46440897,18837900000,22.96,4.7,1.43,0.207911691,0.978147601,0.5,-0.866025404,1
01-06-2000,1380.4,1380.4,1345.1,1349,29618849,18372000000,22.46,4.52,1.46,0.207911691,0.978147601,1.22E-16,-1,1
02-06-2000,1350.15,1395.35,1350.15,1389.25,40135483,23559500000,23.13,4.65,1.42,0.406736643,0.913545458,1.22E-16,-1,1
05-06-2000,1390.95,1461.05,1390.95,1404.6,46679969,26104700000,23.38,4.71,1.39,0.866025404,0.5,1.22E-16,-1,1
06-06-2000,1405.45,1426.15,1392.7,1421.75,28124165,19191600000,23.67,4.76,1.38,0.951056516,0.309016994,1.22E-16,-1,1
07-06-2000,1423.4,1442.7,1413.8,1430.35,32121331,25130500000,23.7,4.78,1.39,0.994521895,0.104528463,1.22E-16,-1,1
08-06-2000,1430.5,1468.7,1430.5,1463.65,39568681,22106700000,24.25,4.89,1.36,0.994521895,-0.104528463,1.22E-16,-1,1
09-06-2000,1464.3,1485.5,1458.9,1467.2,55393741,28138500000,24.31,4.9,1.36,0.951056516,-0.309016994,1.22E-16,-1,1
